id,slug,nom,prix,description,categorie,restaurant_id,calories,temps_preparation_min,vegetarien,vegan,epice,allergenes,disponible,image,created_at
1,burger-classic,Burger Classic,12.9,"Pain brioché grillé, steak haché 180g, cheddar fondant, salade croquante, tomates fraîches et notre sauce maison. Servi avec frites croustillantes.",Pâtes,101,425,17,false,false,false,,true,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
2,pizza-margherita,Pizza Margherita,11.5,"Base sauce tomate maison, mozzarella di bufala crémeuse, basilic frais et huile d'olive extra vierge. Pâte fine cuite au four à pierre.",Plat principal,110,759,21,true,false,false,,true,https://images.unsplash.com/photo-1564436872-f6d81182df12?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
3,salade-cesar-rousse,Salade César Rousse,13.9,"Cœur de romaine croquante, poulet rôti émincé, copeaux de parmesan, croûtons dorés à l'ail et sauce César crémeuse préparée minute.",Boisson,90,518,21,false,false,true,Crustacés;Moutarde,true,https://images.unsplash.com/photo-1484980972926-edee96e0960d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwzfHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
4,sushi-mix-classique,Sushi Mix Classique,18.5,"Assortiment de 12 pièces : 6 makis saumon avocat, 3 california rolls et 3 nigiris (saumon, thon, daurade). Servi avec sauce soja, gingembre et wasabi.",Salade,110,400,18,true,false,false,Gluten;Lactose,true,https://images.unsplash.com/photo-1490645935967-10de6ba17061?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw0fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
5,pates-carbonara,Pâtes Carbonara,14.9,"Spaghetti al dente, pancetta croustillante, jaunes d'œufs crémeux, pecorino romano et poivre noir du moulin. Recette romaine authentique.",Boisson,115,478,10,false,false,false,Sésame;Moutarde,true,https://images.unsplash.com/photo-1592417817038-d13fd7342605?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw1fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
6,tacos-poulet,Tacos Poulet,9.9,"Galette de blé garnie de poulet mariné, frites, cheddar fondu, sauce algérienne et sauce blanche. Le tout gratiné à la plancha.",Entrée,108,628,21,false,false,false,Œufs;Gluten,true,https://images.unsplash.com/photo-1574484284002-952d92456975?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw2fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
7,entrecote-grillee,Entrecôte Grillée,24.9,"Entrecôte maturée 300g, grillée à la perfection, accompagnée de frites maison et salade verte. Choix de sauce : poivre, béarnaise ou maître d'hôtel.",Accompagnement,114,367,23,false,false,false,,true,https://images.unsplash.com/photo-1600335895229-6e75511892c8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw3fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
8,tartare-de-saumon,Tartare de Saumon,16.5,"Saumon frais coupé au couteau, assaisonné à l'aneth, huile d'olive, citron vert et échalotes. Servi avec toast de pain de campagne grillé.",Pâtes,94,758,12,false,false,false,Gluten;Lactose,true,https://images.unsplash.com/photo-1564671165093-20688ff1fffa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw4fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
9,ravioles-du-dauphine,Ravioles du Dauphiné,15.9,"Ravioles fraîches gratinées à la crème, parsemées de comté râpé et noisettes de beurre. Spécialité savoyarde réconfortante.",Plat principal,98,685,25,true,false,true,,true,https://images.unsplash.com/photo-1572424117831-005b5e9b3ae4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHw5fHxtZWFsfGVufDB8fHx8MTc1OTk0NTkwNHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
10,burger-veggie,Burger Veggie,13.5,"Steak de légumes maison (quinoa, haricots rouges, épices), avocat frais, tomates, roquette et sauce curry-mangue. Pain complet aux graines.",Accompagnement,86,307,11,false,false,false,Œufs;Soja,true,https://images.unsplash.com/photo-1608835291093-394b0c943a75?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxMHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
11,fish-chips,Fish & Chips,16.9,"Filet de cabillaud pané à la bière, frites épaisses croustillantes, purée de petits pois à la menthe et sauce tartare maison.",Plat principal,87,731,11,false,false,false,,false,https://images.unsplash.com/photo-1576867757603-05b134ebc379?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxMXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
12,risotto-aux-champignons,Risotto aux Champignons,17.5,"Riz carnaroli crémeux, mélange de champignons de saison, parmesan reggiano, beurre et persil plat. Texture onctueuse garantie.",Burger,81,248,16,false,false,false,Gluten,true,https://images.unsplash.com/photo-1523218345414-cd47aea19ba6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxMnx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
13,poulet-tikka-masala,Poulet Tikka Masala,15.9,"Morceaux de poulet marinés aux épices indiennes, sauce tomate crémeuse au curry, coriandre fraîche. Servi avec riz basmati parfumé et naan chaud.",Entrée,118,573,18,false,false,false,Soja;Gluten,true,https://images.unsplash.com/photo-1517244683847-7456b63c5969?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxM3x8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
14,croque-monsieur,Croque-Monsieur,10.5,"Pain de mie grillé, jambon blanc de qualité, emmental fondu et béchamel gratinée au four. Accompagné de salade verte.",Salade,113,705,23,false,false,false,,true,https://images.unsplash.com/photo-1489391013510-49401c8a3b6c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxNHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
15,poke-bowl-saumon,Poke Bowl Saumon,14.9,"Riz vinaigré, saumon frais mariné, avocat, edamame, chou rouge, algues wakamé, graines de sésame et sauce soja-gingembre.",Burger,96,375,25,true,true,true,,true,https://images.unsplash.com/photo-1600289031464-74d374b64991?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxNXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
16,lasagnes-bolognaise,Lasagnes Bolognaise,13.9,"Pâtes fraîches superposées, sauce bolognaise mitonnée 4h, béchamel onctueuse et parmesan gratinée. Recette familiale italienne.",Pizza,93,213,24,false,false,true,,true,https://images.unsplash.com/photo-1497888329096-51c27beff665?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxNnx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
17,pad-thai-crevettes,Pad Thaï Crevettes,16.5,"Nouilles de riz sautées au wok, crevettes roses, œuf, germes de soja, cacahuètes concassées, citron vert et sauce tamarin sucrée-salée.",Pizza,91,404,12,false,false,false,Poisson,true,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxN3x8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
18,tartare-de-buf,Tartare de Bœuf,19.9,"Viande de bœuf charolais hachée au couteau, assaisonnée à la perfection, câpres, cornichons, échalotes et jaune d'œuf. Frites incluses.",Burger,98,589,10,false,false,true,Soja,true,https://images.unsplash.com/photo-1555126634-323283e090fa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxOHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
19,pizza-quatre-fromages,Pizza Quatre Fromages,13.9,"Base crème fraîche, mélange harmonieux de mozzarella, gorgonzola, chèvre et parmesan. Un voyage lacté pour les amateurs de fromage.",Plat principal,105,681,16,false,false,false,Soja;Fruits à coque,true,https://images.unsplash.com/photo-1547573854-74d2a71d0826?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxOXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
20,bagel-saumon-fume,Bagel Saumon Fumé,11.9,"Bagel moelleux, saumon fumé norvégien, cream cheese aux herbes, oignons rouges, câpres et aneth frais. Parfait pour le brunch.",Entrée,106,663,28,false,false,false,,false,https://images.unsplash.com/photo-1611599537845-1c7aca0091c0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyMHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
21,couscous-royal,Couscous Royal,22.9,"Semoule fine vapeur, bouillon de légumes parfumé, merguez grillées, poulet, agneau, légumes confits et pois chiches. Harissa et sauce à part.",Boisson,107,527,15,true,true,true,Soja;Poisson,true,https://images.unsplash.com/photo-1494859802809-d069c3b71a8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyMXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
22,buddha-bowl-vegetarien,Buddha Bowl Végétarien,13.5,"Quinoa, patate douce rôtie, avocat, falafels maison, houmous crémeux, chou kale, graines et sauce tahini au citron.",Burger,88,748,20,false,false,false,,true,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyMnx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
23,ramen-tonkotsu,Ramen Tonkotsu,16.9,"Bouillon de porc mijoté 12h, nouilles ramen fraîches, porc chashu fondant, œuf mollet mariné, nori, oignons verts et huile de sésame.",Accompagnement,81,563,19,false,false,false,,true,https://images.unsplash.com/photo-1598532213919-078e54dd1f40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyM3x8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
24,quiche-lorraine,Quiche Lorraine,12.5,"Pâte brisée pur beurre, appareil crémeux aux œufs, lardons fumés et emmental. Cuite au four et servie tiède avec salade verte.",Pâtes,83,379,16,false,false,true,Soja,true,https://images.unsplash.com/photo-1636475735446-bfc801fa6f2c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyNHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
25,burger-bacon,Burger Bacon,14.9,"Double steak 200g, bacon croustillant, cheddar, oignons caramélisés, cornichons et sauce BBQ fumée. Pain aux graines de sésame.",Burger,88,566,14,true,true,true,,true,https://images.unsplash.com/photo-1473093295043-cdd812d0e601?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyNXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
26,planche-de-charcuterie,Planche de Charcuterie,18.5,"Sélection de charcuteries artisanales : jambon de pays, saucisson sec, rosette, pâté de campagne. Accompagnée de cornichons et pain de campagne.",Entrée,108,608,18,true,false,false,Gluten,true,https://images.unsplash.com/photo-1592417817098-8fd3d9eb14a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyNnx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
27,salade-nicoise,Salade Niçoise,14.5,"Thon blanc, œufs durs, tomates cerises, haricots verts, pommes de terre, olives noires, anchois et vinaigrette à l'huile d'olive.",Burger,99,611,18,true,false,false,Céleri,true,https://images.unsplash.com/photo-1556909114-a1d34f47412c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyN3x8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
28,saumon-teriyaki,Saumon Teriyaki,21.9,"Pavé de saumon grillé, sauce teriyaki sucrée-salée, riz japonais, légumes croquants sautés au wok et graines de sésame torréfiées.",Dessert,112,285,19,true,true,false,Poisson;Crustacés,true,https://images.unsplash.com/photo-1594998893017-36147cbcae05?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyOHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
29,pizza-calzone,Pizza Calzone,14.5,"Pizza fermée farcie de jambon, mozzarella, champignons, ricotta crémeuse et sauce tomate. Gratinée au four jusqu'à obtenir une croûte dorée.",Entrée,119,538,13,false,false,true,Œufs,false,https://images.unsplash.com/photo-1533777857889-4be7c70b33f7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyOXx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
30,wrap-poulet-cesar,Wrap Poulet César,10.9,"Tortilla de blé, poulet grillé mariné, salade romaine, parmesan, tomates et sauce césar onctueuse. Pratique et savoureux.",Dessert,83,299,12,false,false,false,Soja;Œufs,true,https://images.unsplash.com/photo-1516213335993-159eca2981af?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwzMHx8bWVhbHxlbnwwfHx8fDE3NTk5NDU5MDR8MA&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
31,fondue-savoyarde,Fondue Savoyarde,19.9,"Mélange de fromages savoyards (beaufort, comté, abondance), vin blanc et kirsch. Servie avec pain de campagne, charcuterie et pommes de terre.",Entrée,106,598,11,true,false,false,Gluten;Lactose,true,https://images.unsplash.com/photo-1482049016688-2d3e1b311543?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwxfHxmb29kfGVufDB8fHx8MTc1OTk0NTkzOHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
32,buf-bourguignon,Bœuf Bourguignon,18.9,"Joue de bœuf confite au vin rouge de Bourgogne, lardons, champignons, carottes et oignons grelots. Accompagné de tagliatelles fraîches.",Plat principal,99,247,14,false,false,true,Œufs;Soja,false,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwyfHxmb29kfGVufDB8fHx8MTc1OTk0NTkzOHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
33,gyoza-au-porc,Gyoza au Porc,8.9,"6 raviolis japonais farcis au porc et légumes, poêlés pour obtenir une base croustillante. Servis avec sauce soja-vinaigre.",Entrée,87,460,11,false,false,false,Poisson;Soja,true,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4MTM5MDN8MHwxfHNlYXJjaHwzfHxmb29kfGVufDB8fHx8MTc1OTk0NTkzOHww&ixlib=rb-4.1.0&q=80&w=1080,2025-10-12 10:52:05.465853+00
